Timestamp,PersonName,PersonEmail,Name,Phone,Email,Description,Type,MainType,State,City,Street,ZIP,Site,Commerce,FB,Twitter,Instagram,DeliveryText,HelpText,GiftCard,GiftCardLink
3/26/2020 21:35:33,Demo Name,demo_personal_email@site.com,BusinessName1,BusinessNumber,business_email@site.com,"We sell X, Y, and Z.","Bakery, Cafe",Bakery,Illinois - IL,Naperville,Main Street 101,60564,https://www.mysite.com/,https://www.mystore.com/,https://www.facebook.com/,https://www.twitter.com/,https://www.instagram.com/,We offer delivery and takeout. We are on Uber Eats: [link],We would appreciate any purchases of small items that would otherwise perish/spoil.,"Yes, online.",https://www.mystore.com/cards
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Bakery,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, in store.",
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Bakery,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, online.",https://www.mystore.com/cards
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Bakery,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,No.,
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Cafe,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, in store.",
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Cafe,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, online.",https://www.mystore.com/cards
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Bakery, Cafe",Cafe,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,No.,
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Book Store, Art/Jewelry",Book Store,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, in store.",
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Book Store, Art/Jewelry",Book Store,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,"Yes, online.",https://www.mystore.com/cards
3/26/2020 21:35:33,John Doe,personal_0@site.com,BusinessName0,8001201500,business_0@site.com,We are dedicated to producing...,"Book Store, Art/Jewelry",Book Store,Illinois - IL,Chicago,1200 Main Street,60000,www.mysite.com,www.mycommerce.com,www.facebook.com/mypage,www.twitter.com/mytwitter,www.instagram.com/myinsta,Online orders here: [link],We would appreciate any purchases of small items.,No.,
